,순위,곡명,가수명
0,1,사건의 지평선,윤하 (YOUNHA)
1,2,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)"
2,3,사랑은 늘 도망가,임영웅
3,4,Hype boy,NewJeans
4,5,ANTIFRAGILE,LE SSERAFIM (르세라핌)
5,6,London Boy,임영웅
6,7,우리들의 블루스,임영웅
7,8,Polaroid,임영웅
8,9,다시 만날 수 있을까,임영웅
9,10,무지개,임영웅
10,11,Nxde,(여자)아이들
11,12,이제 나만 믿어요,임영웅
12,13,아버지,임영웅
13,14,A bientot,임영웅
14,15,After LIKE,IVE (아이브)
15,16,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
16,17,손이 참 곱던 그대,임영웅
17,18,인생찬가,임영웅
18,19,사랑해 진짜,임영웅
19,20,연애편지,임영웅
20,21,보금자리,임영웅
21,22,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
22,23,Attention,NewJeans
23,24,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang"
24,25,LOVE DIVE,IVE (아이브)
25,26,Monologue,테이
26,27,Rush Hour (Feat. j-hope of BTS),Crush
27,28,Shut Down,BLACKPINK
28,29,WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J'Kyun), 잠비노 (Jambino), XINSAYNE"
29,30,WHEN I MOVE,카라
30,31,Pink Venom,BLACKPINK
31,32,해요 (2022),#안녕
32,33,자격지심 (Feat. ZICO),BE'O (비오)
33,34,Snowman,Sia
34,35,들꽃놀이 (with 조유진),RM
35,36,딱 10CM만,"10CM, BIG Naughty (서동현)"
36,37,TOMBOY,(여자)아이들
37,38,잘가요,주호
38,39,내가 아니라도,주호
39,40,너의 모든 순간,성시경
40,41,사랑인가 봐,멜로망스
41,42,Dynamite,방탄소년단
42,43,All I Want for Christmas Is You,Mariah Carey
43,44,Cookie,NewJeans
44,45,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
45,46,그라데이션,10CM
46,47,FEARLESS,LE SSERAFIM (르세라핌)
47,48,그중에 그대를 만나,김호중
48,49,첫사랑,백아
49,50,Butter,방탄소년단
50,51,봄날,방탄소년단
51,52,아저씨,"릴러말즈 (Leellamarz), 크루셜스타 (CRUCiAL STAR), QM, 김재욱, NSW yoon, 다민이 (DAMINI)"
52,53,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
53,54,Yet To Come,방탄소년단
54,55,The Astronaut,진
55,56,떠나보낼 준비해 둘걸 그랬어,임한별
56,57,Santa Tell Me,Ariana Grande
57,58,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈"
58,59,나의 목소리로,김호중
59,60,취중고백,김민석 (멜로망스)
60,61,흩어지지 않게,엠씨더맥스 (M.C the MAX)
61,62,ELEVEN,IVE (아이브)
62,63,나의 X에게,경서
63,64,Permission to Dance,방탄소년단
64,65,That's Hilarious,Charlie Puth
65,66,보고싶었어,WSG워너비 (4FIRE)
66,67,다정히 내 이름을 부르면,"경서예지, 전건호"
67,68,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
68,69,I Don't Think That I Like Her,Charlie Puth
69,70,인생은 뷰티풀,김호중
70,71,새벽에 걸려온 너의 전화는,한동근
71,72,LOVE me,BE'O (비오)
72,73,첫 눈,EXO
73,74,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
74,75,주마등,김호중
75,76,주저하는 연인들을 위해,잔나비
76,77,Last Christmas,Ariana Grande
77,78,밤하늘의 별을(2020),경서
78,79,빛이 나는 사람,김호중
79,80,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
80,81,STAY,"The Kid LAROI, Justin Bieber"
81,82,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
82,83,FOREVER 1,소녀시대 (GIRLS' GENERATION)
83,84,고백연습,경서
84,85,Love story,볼빨간사춘기
85,86,친구,김호중
86,87,약속 [約束],김호중
87,88,도깨비불 (Illusion),aespa
88,89,슬픈등,김호중
89,90,사랑한다고 말해줘,탑현
90,91,SNEAKERS,ITZY (있지)
91,92,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
92,93,Feel My Rhythm,Red Velvet (레드벨벳)
93,94,Birthday,Red Velvet (레드벨벳)
94,95,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
95,96,오르트구름,윤하 (YOUNHA)
96,97,Il Mare Calmo Della Sera,김호중
97,98,Off My Face,Justin Bieber
98,99,Tiritomba,김호중
99,100,가을꽃,김호중
